Time (s),Fraction
0.268461669,0.993860228
0.286571367,0.949707616
0.332400587,0.899263344
0.387576747,0.858288692
0.433493594,0.817308198
0.479381233,0.773173111
0.553105229,0.735364735
0.617599121,0.70070511
0.654256655,0.659718774
0.746411651,0.612458304
0.820164857,0.57780452
0.903265003,0.552620356
1.014259927,0.540072088
1.060381238,0.521173742
1.134338908,0.508602107
1.189748743,0.492864195
1.337722501,0.474030109
1.374584499,0.455125921
1.402187184,0.436215891
1.42976066,0.414151269
1.420296882,0.392063279
1.457129671,0.370004498
1.512422669,0.341648216
1.632589278,0.319642012
1.743554992,0.303939151
1.854549916,0.291390883
1.974862571,0.285157642
2.113723062,0.282090677
2.206286986,0.278994503
2.345147477,0.275927538
2.465489342,0.272848889
2.798707785,0.260440825
2.92807529,0.232131278
3.325933672,0.200836551
3.492572103,0.197787112
3.955508561,0.194924611
4.640697749,0.195356907
