Time (s),Fraction
0.194416371,0.996968086
0.259114728,0.984390609
0.31458298,0.974961882
0.388511441,0.959235654
0.434603544,0.937182715
0.490042587,0.924599396
0.554770153,0.915176511
0.61946851,0.902599034
0.665677449,0.893164465
0.711886388,0.883729897
0.748865223,0.877444079
0.785814849,0.868003669
0.850571624,0.861735376
0.868973414,0.84912869
0.924383248,0.833390778
0.979793082,0.817652866
1.044520648,0.808229981
1.109277423,0.801961689
1.155486362,0.792527121
1.238732555,0.78311592
1.331208852,0.770555968
1.386706313,0.764281834
1.451433879,0.754858949
1.525420758,0.745441906
1.645733414,0.739208665
1.710460979,0.72978578
1.775246964,0.72667208
1.849204634,0.714100445
1.913873781,0.698368375
1.98786066,0.688951332
2.089654689,0.682706407
2.182101777,0.666991862
2.256117865,0.660729412
2.320816222,0.648151935
2.385514578,0.635574457
2.422581041,0.638752417
2.450300563,0.632460757
2.515086547,0.629347058
2.561237068,0.613603304
2.644541679,0.610501288
2.72781708,0.60424468
2.783285333,0.594815953
2.848042108,0.588547661
2.894338675,0.58857687
2.949836136,0.582302736
2.986814971,0.576016918
3.051542537,0.566594033
3.116357731,0.566634926
3.171855193,0.560360792
3.292167848,0.554127551
3.338435205,0.551002167
3.431028339,0.551060586
3.523563054,0.544809819
3.625386292,0.541719487
3.699431589,0.538611629
3.791995513,0.535515455
3.810455722,0.529217953
3.847463766,0.526086728
3.88447181,0.522955503
3.977035735,0.519859329
4.088118286,0.516774838
4.236208881,0.510559122
4.402847312,0.507509683
4.467604087,0.501241391
4.50464134,0.501264758
4.421336729,0.504366774
4.606435369,0.495019833
4.736065756,0.495101619
4.810081844,0.488839168
4.847060679,0.482553351
4.921105977,0.479445493
4.967373334,0.476320109
